EU Team,CN Team,Season,Winner
LD,OMG,3,CN
LD,OMG,3,CN
FNC,RYL,3,CN
FNC,RYL,3,CN
FNC,RYL,3,EU
FNC,RYL,3,CN
FNC,OMG,4,CN
FNC,OMG,4,CN
FNC,OMG,4,CN
SK,SHR,4,CN
SK,SHR,4,CN
FNC,EDG,5,CN
FNC,IG,5,EU
FNC,IG,5,EU
OG,LGD,5,EU
OG,LGD,5,CN
H2K,EDG,5,CN
H2K,EDG,5,CN
FNC,EDG,5,EU
FNC,EDG,5,EU
FNC,EDG,5,EU
G2,RNG,6,CN
G2,RNG,6,CN
SPY,SHR,6,CN
SPY,SHR,6,EU
H2K,EDG,6,CN
H2K,EDG,6,EU
H2K,EDG,6,EU
G2,WE,7,CN
G2,WE,7,CN
G2,WE,7,EU
G2,WE,7,CN
G2,WE,7,EU
G2,WE,7,EU
G2,RNG,7,CN
G2,RNG,7,EU
MSF,WE,7,CN
MSF,WE,7,CN
FNC,RNG,7,CN
FNC,RNG,7,CN
FNC,RNG,7,EU
FNC,RNG,7,CN
