EU Team,KR Team,Season,Winner
FNC,SSO,3,EU
FNC,SSO,3,EU
GMB,SSO,3,EU
GMB,SSO,3,KR
GMB,SSO,3,EU
LD,SKT,3,KR
LD,SKT,3,KR
GMB,NJS,3,EU
GMB,NJS,3,KR
GMB,NJS,3,KR
FNC,SKT,4,KR
FNC,SKT,4,KR
FNC,SKT,4,KR
FNC,SSB,4,EU
FNC,SSB,4,KR
ALL,NWS,4,KR
ALL,NWS,4,EU
FNC,SKT,5,KR
FNC,SKT,5,KR
FNC,SKT,5,EU
FNC,SKT,5,KR
FNC,SKT,5,EU
FNC,SKT,5,KR
OG,KT,5,EU
OG,KT,5,KR
H2K,SKT,5,KR
H2K,SKT,5,KR
FNC,KOO,5,KR
FNC,KOO,5,KR
FNC,KOO,5,KR
OG,SKT,5,KR
OG,SKT,5,KR
OG,SKT,5,KR
G2,SKT,6,KR
G2,SKT,6,KR
G2,ROX,6,KR
G2,ROX,6,KR
SPY,SSG,6,KR
SPY,SSG,6,KR
H2K,SSG,6,KR
H2K,SSG,6,KR
H2K,SSG,6,KR
G2,SKT,7,KR
G2,SKT,7,KR
G2,SKT,7,KR
G2,SKT,7,EU
G2,SKT,7,KR
G2,SKT,7,KR
G2,SSG,7,KR
G2,SSG,7,KR
FNC,LZ,7,KR
FNC,LZ,7,KR
MSF,SKT,7,KR
MSF,SKT,7,EU
MSF,SKT,7,EU
MSF,SKT,7,KR
MSF,SKT,7,KR
